Method,Episode,Return,Cost,Cumulative Cost,Epsilon,Competence_Rho
ASM-Step,31,-1.94,0.0,219.0,0.05,0.281
ASM-Step,32,0.2,0.0,219.0,0.05,0.317
ASM-Step,33,-0.13,0.0,219.0,0.05,0.301
ASM-Step,34,-0.28,66.0,285.0,0.05,0.286
ASM-Step,35,0.38,0.0,285.0,0.05,0.322
ASM-Step,36,0.32,0.0,285.0,0.05,0.356
ASM-Step,37,1.38,47.0,332.0,0.05,0.338
ASM-Step,38,-0.19,25.0,357.0,0.05,0.321
ASM-Step,39,1.12,0.0,357.0,0.05,0.355
ASM-Step,40,-0.76,91.0,448.0,0.05,0.337
ASM-Step,41,0.51,115.0,563.0,0.05,0.32
ASM-Step,42,1.4,0.0,563.0,0.05,0.354
ASM-Step,43,0.44,0.0,563.0,0.05,0.387
ASM-Step,44,-1.87,0.0,563.0,0.05,0.367
ASM-Step,45,1.13,0.0,563.0,0.05,0.399
ASM-Step,46,-0.22,0.0,563.0,0.05,0.379
ASM-Step,47,0.43,0.0,563.0,0.05,0.41
ASM-Step,48,-0.0,0.0,563.0,0.05,0.39
ASM-Step,49,0.95,338.0,901.0,0.05,0.37
ASM-Step,50,-0.35,0.0,901.0,0.05,0.352
ASM-Step,51,0.29,316.0,1217.0,0.163,0.334
ASM-Step,52,0.41,82.0,1299.0,0.163,0.317
ASM-Step,53,0.13,0.0,1299.0,0.163,0.351
ASM-Step,54,0.33,262.0,1561.0,0.163,0.334
ASM-Step,55,-0.07,0.0,1561.0,0.163,0.317
ASM-Step,56,-0.65,0.0,1561.0,0.163,0.301
ASM-Step,57,-0.22,160.0,1721.0,0.163,0.286
ASM-Step,58,-1.02,0.0,1721.0,0.163,0.272
ASM-Step,59,0.08,0.0,1721.0,0.163,0.308
ASM-Step,60,-0.06,0.0,1721.0,0.163,0.293
ASM-Step,61,-0.11,58.0,1779.0,0.163,0.278
ASM-Step,62,-0.06,0.0,1779.0,0.163,0.264
ASM-Step,63,1.57,0.0,1779.0,0.163,0.301
ASM-Step,64,0.07,0.0,1779.0,0.163,0.336
ASM-Step,65,-0.5,0.0,1779.0,0.163,0.319
ASM-Step,66,-1.86,0.0,1779.0,0.163,0.303
ASM-Step,67,0.51,158.0,1937.0,0.163,0.288
ASM-Step,68,-1.17,0.0,1937.0,0.163,0.274
ASM-Step,69,0.9,0.0,1937.0,0.163,0.31
ASM-Step,70,-0.38,5.0,1942.0,0.163,0.295
ASM-Step,71,1.56,0.0,1942.0,0.163,0.33
ASM-Step,72,-1.96,0.0,1942.0,0.163,0.313
ASM-Step,73,2.4,0.0,1942.0,0.163,0.348
ASM-Step,74,1.3,0.0,1942.0,0.163,0.38
ASM-Step,75,0.27,0.0,1942.0,0.163,0.411
ASM-Step,76,0.07,53.0,1995.0,0.275,0.391
ASM-Step,77,0.63,0.0,1995.0,0.163,0.421
ASM-Step,78,0.04,0.0,1995.0,0.275,0.45
ASM-Step,79,-0.09,0.0,1995.0,0.275,0.428
ASM-Step,80,-0.18,0.0,1995.0,0.275,0.406
ASM-Step,81,-0.02,32.0,2027.0,0.275,0.386
ASM-Step,82,-0.87,0.0,2027.0,0.163,0.367
ASM-Step,83,0.38,0.0,2027.0,0.163,0.398
ASM-Step,84,0.36,0.0,2027.0,0.163,0.428
ASM-Step,85,0.18,0.0,2027.0,0.275,0.457
ASM-Step,86,0.08,0.0,2027.0,0.275,0.484
ASM-Step,87,0.49,0.0,2027.0,0.275,0.51
ASM-Step,88,0.55,0.0,2027.0,0.275,0.534
ASM-Step,89,-1.0,192.0,2219.0,0.275,0.508
ASM-Step,90,-0.39,0.0,2219.0,0.275,0.482
ASM-Step,91,-1.5,0.0,2219.0,0.275,0.458
ASM-Step,92,-0.05,0.0,2219.0,0.275,0.435
ASM-Step,93,-0.87,267.0,2486.0,0.275,0.414
ASM-Step,94,-0.74,0.0,2486.0,0.275,0.393
ASM-Step,95,1.28,0.0,2486.0,0.163,0.423
ASM-Step,96,-1.59,164.0,2650.0,0.275,0.402
ASM-Step,97,-1.39,237.0,2887.0,0.275,0.382
ASM-Step,98,-0.48,285.0,3172.0,0.163,0.363
ASM-Step,99,0.25,0.0,3172.0,0.163,0.395
ASM-Step,100,-0.09,0.0,3172.0,0.163,0.375
ASM-Step,101,-1.14,0.0,3172.0,0.163,0.356
ASM-Step,102,-2.04,0.0,3172.0,0.163,0.338
ASM-Step,103,0.16,0.0,3172.0,0.163,0.371
ASM-Step,104,0.49,60.0,3232.0,0.163,0.353
ASM-Step,105,-3.01,0.0,3232.0,0.163,0.335
ASM-Step,106,-1.46,0.0,3232.0,0.163,0.318
ASM-Step,107,0.41,0.0,3232.0,0.163,0.353
ASM-Step,108,0.64,146.0,3378.0,0.163,0.335
ASM-Step,109,0.15,0.0,3378.0,0.163,0.368
ASM-Step,110,-1.23,0.0,3378.0,0.163,0.35
ASM-Step,111,-0.2,0.0,3378.0,0.163,0.332
ASM-Step,112,0.29,88.0,3466.0,0.163,0.316
ASM-Step,113,-1.18,41.0,3507.0,0.163,0.3
ASM-Step,114,1.68,106.0,3613.0,0.163,0.285
ASM-Step,115,-0.76,0.0,3613.0,0.163,0.271
ASM-Step,116,-0.33,0.0,3613.0,0.163,0.257
ASM-Step,117,0.17,299.0,3912.0,0.163,0.244
ASM-Step,118,-0.09,0.0,3912.0,0.163,0.232
ASM-Step,119,-0.8,0.0,3912.0,0.163,0.22
ASM-Step,120,1.44,0.0,3912.0,0.163,0.259
ASM-Step,121,0.01,0.0,3912.0,0.163,0.296
ASM-Step,122,-1.22,0.0,3912.0,0.163,0.282
ASM-Step,123,-1.21,0.0,3912.0,0.163,0.268
ASM-Step,124,0.47,0.0,3912.0,0.163,0.304
ASM-Step,125,-0.21,0.0,3912.0,0.163,0.289
ASM-Step,126,-0.59,0.0,3912.0,0.163,0.275
ASM-Step,127,0.14,0.0,3912.0,0.163,0.311
ASM-Step,128,-0.41,0.0,3912.0,0.163,0.295
ASM-Step,129,0.66,0.0,3912.0,0.163,0.33
ASM-Step,130,-1.2,0.0,3912.0,0.163,0.314
ASM-Step,131,2.44,0.0,3912.0,0.163,0.348
ASM-Step,132,-0.98,0.0,3912.0,0.163,0.331
ASM-Step,133,-0.08,0.0,3912.0,0.163,0.314
ASM-Step,134,0.38,132.0,4044.0,0.163,0.299
ASM-Step,135,-0.44,0.0,4044.0,0.163,0.284
ASM-Step,136,-0.48,0.0,4044.0,0.163,0.269
ASM-Step,137,-0.34,0.0,4044.0,0.163,0.256
ASM-Step,138,0.29,0.0,4044.0,0.163,0.293
ASM-Step,139,0.37,0.0,4044.0,0.163,0.329
ASM-Step,140,-0.07,0.0,4044.0,0.163,0.312
ASM-Step,141,-0.66,0.0,4044.0,0.163,0.297
ASM-Step,142,0.51,0.0,4044.0,0.163,0.332
ASM-Step,143,-0.99,214.0,4258.0,0.163,0.315
ASM-Step,144,-1.24,0.0,4258.0,0.163,0.299
ASM-Step,145,0.42,0.0,4258.0,0.163,0.334
ASM-Step,146,1.56,101.0,4359.0,0.163,0.318
ASM-Step,147,-0.51,0.0,4359.0,0.163,0.302
ASM-Step,148,-1.1,76.0,4435.0,0.163,0.287
ASM-Step,149,-0.0,0.0,4435.0,0.163,0.272
ASM-Step,150,1.28,0.0,4435.0,0.163,0.309
ASM-Step,151,-0.6,370.0,4805.0,0.163,0.293
ASM-Step,152,-1.9,0.0,4805.0,0.163,0.279
ASM-Step,153,-0.03,0.0,4805.0,0.163,0.265
ASM-Step,154,0.07,105.0,4910.0,0.163,0.251
ASM-Step,155,-0.97,0.0,4910.0,0.163,0.239
ASM-Step,156,-0.48,102.0,5012.0,0.163,0.227
ASM-Step,157,-0.81,0.0,5012.0,0.163,0.216
ASM-Step,158,-1.6,0.0,5012.0,0.163,0.205
ASM-Step,159,-0.6,287.0,5299.0,0.163,0.195
ASM-Step,160,-0.7,0.0,5299.0,0.05,0.185
ASM-Step,161,-0.44,0.0,5299.0,0.05,0.176
ASM-Step,162,0.16,10.0,5309.0,0.05,0.167
ASM-Step,163,-1.02,0.0,5309.0,0.05,0.158
ASM-Step,164,0.49,0.0,5309.0,0.05,0.201
ASM-Step,165,-0.77,0.0,5309.0,0.163,0.191
ASM-Step,166,-0.53,48.0,5357.0,0.05,0.181
ASM-Step,167,-0.03,51.0,5408.0,0.05,0.172
ASM-Step,168,-0.97,23.0,5431.0,0.05,0.163
ASM-Step,169,-1.77,22.0,5453.0,0.05,0.155
ASM-Step,170,-0.75,0.0,5453.0,0.05,0.147
ASM-Step,171,-0.37,0.0,5453.0,0.05,0.14
ASM-Step,172,-1.1,0.0,5453.0,0.05,0.133
ASM-Step,173,-0.48,0.0,5453.0,0.05,0.126
ASM-Step,174,0.27,0.0,5453.0,0.05,0.17
ASM-Step,175,1.88,102.0,5555.0,0.05,0.162
ASM-Step,176,-1.55,0.0,5555.0,0.05,0.154
ASM-Step,177,-0.19,0.0,5555.0,0.05,0.146
ASM-Step,178,-0.56,156.0,5711.0,0.05,0.139
ASM-Step,179,0.2,61.0,5772.0,0.05,0.132
ASM-Step,180,0.11,0.0,5772.0,0.05,0.175
ASM-Step,181,-0.75,0.0,5772.0,0.05,0.166
ASM-Step,182,-0.09,42.0,5814.0,0.05,0.158
ASM-Step,183,-0.53,0.0,5814.0,0.05,0.15
ASM-Step,184,-0.48,0.0,5814.0,0.05,0.143
ASM-Step,185,0.13,0.0,5814.0,0.05,0.185
ASM-Step,186,1.45,0.0,5814.0,0.05,0.226
ASM-Step,187,0.11,193.0,6007.0,0.163,0.215
ASM-Step,188,-0.11,52.0,6059.0,0.163,0.204
ASM-Step,189,0.14,53.0,6112.0,0.163,0.194
ASM-Step,190,0.34,0.0,6112.0,0.05,0.234
ASM-Step,191,-0.14,0.0,6112.0,0.163,0.222
ASM-Step,192,-1.62,0.0,6112.0,0.163,0.211
ASM-Step,193,-0.61,0.0,6112.0,0.163,0.201
ASM-Step,194,0.14,0.0,6112.0,0.163,0.241
ASM-Step,195,0.54,0.0,6112.0,0.163,0.279
ASM-Step,196,-1.04,0.0,6112.0,0.163,0.265
ASM-Step,197,-0.33,263.0,6375.0,0.163,0.252
ASM-Step,198,-0.27,0.0,6375.0,0.163,0.239
ASM-Step,199,-1.02,0.0,6375.0,0.163,0.227
ASM-Step,200,-0.4,0.0,6375.0,0.163,0.216
ASM-Step,201,-0.45,0.0,6375.0,0.163,0.205
ASM-Step,202,-0.44,22.0,6397.0,0.163,0.195
ASM-Step,203,0.02,0.0,6397.0,0.05,0.235
ASM-Step,204,-1.74,240.0,6637.0,0.163,0.223
ASM-Step,205,-0.44,0.0,6637.0,0.163,0.212
ASM-Step,206,-0.93,0.0,6637.0,0.163,0.201
ASM-Step,207,0.3,0.0,6637.0,0.163,0.241
ASM-Step,208,-0.51,0.0,6637.0,0.163,0.229
ASM-Step,209,-2.44,0.0,6637.0,0.163,0.218
ASM-Step,210,0.4,0.0,6637.0,0.163,0.257
ASM-Step,211,-0.08,0.0,6637.0,0.163,0.244
ASM-Step,212,0.02,0.0,6637.0,0.163,0.282
ASM-Step,213,0.39,378.0,7015.0,0.163,0.268
ASM-Step,214,-0.91,99.0,7114.0,0.163,0.254
ASM-Step,215,0.37,313.0,7427.0,0.163,0.242
ASM-Step,216,-1.46,0.0,7427.0,0.163,0.23
ASM-Step,217,-0.0,0.0,7427.0,0.163,0.218
ASM-Step,218,1.32,0.0,7427.0,0.163,0.257
ASM-Step,219,1.67,0.0,7427.0,0.163,0.294
ASM-Step,220,0.89,25.0,7452.0,0.163,0.28
ASM-Step,221,0.24,85.0,7537.0,0.163,0.266
ASM-Step,222,-0.97,598.0,8135.0,0.163,0.252
ASM-Step,223,-0.73,86.0,8221.0,0.163,0.24
ASM-Step,224,-0.55,0.0,8221.0,0.163,0.228
ASM-Step,225,-0.55,0.0,8221.0,0.163,0.216
ASM-Step,226,0.12,0.0,8221.0,0.163,0.256
ASM-Step,227,0.44,269.0,8490.0,0.163,0.243
ASM-Step,228,-0.05,0.0,8490.0,0.163,0.231
ASM-Step,229,-0.57,74.0,8564.0,0.163,0.219
ASM-Step,230,-1.16,157.0,8721.0,0.163,0.208
ASM-Step,231,0.26,623.0,9344.0,0.163,0.198
ASM-Step,232,0.24,0.0,9344.0,0.05,0.238
ASM-Step,233,0.25,138.0,9482.0,0.163,0.226
ASM-Step,234,0.04,0.0,9482.0,0.163,0.265
ASM-Step,235,-1.35,153.0,9635.0,0.163,0.251
ASM-Step,236,1.79,0.0,9635.0,0.163,0.289
ASM-Step,237,-0.26,0.0,9635.0,0.163,0.274
ASM-Step,238,-1.31,158.0,9793.0,0.163,0.261
ASM-Step,239,0.55,0.0,9793.0,0.163,0.298
ASM-Step,240,-0.37,0.0,9793.0,0.163,0.283
ASM-Step,241,0.12,0.0,9793.0,0.163,0.319
ASM-Step,242,-0.49,0.0,9793.0,0.163,0.303
ASM-Step,243,-0.07,0.0,9793.0,0.163,0.288
ASM-Step,244,2.04,0.0,9793.0,0.163,0.323
ASM-Step,245,-0.07,0.0,9793.0,0.163,0.307
ASM-Step,246,-0.18,0.0,9793.0,0.163,0.292
ASM-Step,247,-0.0,0.0,9793.0,0.163,0.277
ASM-Step,248,0.41,230.0,10023.0,0.163,0.263
ASM-Step,249,-0.14,0.0,10023.0,0.163,0.25
ASM-Step,250,0.33,272.0,10295.0,0.163,0.238
